id,company,title,publish_date,type,open_source,summary,details,url,tags,created_at
rss_https://simonwillison.net/2026/May/7/firefox-claude-mythos/#atom-everything,Simon Willison,Behind the Scenes Hardening Firefox with Claude Mythos Preview,2026-05-07,其他,否,"<p><strong><a href=""https://hacks.mozilla.org/2026/05/behind-the-scenes-hardening-firefox/"">Behind the Scenes Hardening Firefox with Claude Mythos Preview</a></strong></p>
Fascinating, in-depth detail",,https://simonwillison.net/2026/May/7/firefox-claude-mythos/#atom-everything,,2026-05-08 04:52:03
rss_https://openai.com/index/how-chatgpt-protects-privacy,OpenAI,How ChatGPT learns about the world while protecting privacy,2026-05-06,其他,否,"Learn how ChatGPT safeguards your privacy, reduces personal data in training, and gives you control over whether your conversations improve AI models.",,https://openai.com/index/how-chatgpt-protects-privacy,,2026-05-09 05:04:26
rss_https://huggingface.co/blog/lablab-ai-amd-developer-hackathon/cybersecqwen-4b,Hugging Face,"CyberSecQwen-4B: Why Defensive Cyber Needs Small, Specialized, Locally-Runnable Models",2026-05-08,其他,否,,,https://huggingface.co/blog/lablab-ai-amd-developer-hackathon/cybersecqwen-4b,,2026-05-09 05:04:27
rss_https://www.microsoft.com/en-us/research/?p=1170857,Microsoft Research,Building realistic electric transmission grid dataset at scale: a pipeline from open dataset,2026-05-08,其他,否,<p>Microsoft Research is excited to release an open dataset of approximate transmission topology of the U.S. power grid derived from publicly available data. The ability to study transmission-level po,,https://www.microsoft.com/en-us/research/blog/building-realistic-electric-transmission-grid-dataset-at-scale-a-pipeline-from-open-dataset/,,2026-05-09 05:04:29
rss_https://simonwillison.net/2026/May/8/unreasonable-effectiveness-of-html/#atom-everything,Simon Willison,Using Claude Code: The Unreasonable Effectiveness of HTML,2026-05-08,其他,否,"<p><strong><a href=""https://twitter.com/trq212/status/2052809885763747935"">Using Claude Code: The Unreasonable Effectiveness of HTML</a></strong></p>
Thought-provoking piece by Thariq Shihipar (on the",,https://simonwillison.net/2026/May/8/unreasonable-effectiveness-of-html/#atom-everything,,2026-05-09 05:04:30
rss_https://huggingface.co/blog/lablab-ai-amd-developer-hackathon/oncoagent-official-paper,Hugging Face,"""OncoAgent: A Dual-Tier Multi-Agent Framework for Privacy-Preserving Oncology Clinical Decision Support""",2026-05-09,其他,否,,,https://huggingface.co/blog/lablab-ai-amd-developer-hackathon/oncoagent-official-paper,,2026-05-10 05:32:57
rss_https://huggingface.co/blog/lablab-ai-amd-developer-hackathon/machinacheck,Hugging Face,MachinaCheck: Building a Multi-Agent CNC Manufacturability System on AMD MI300X,2026-05-10,其他,否,,,https://huggingface.co/blog/lablab-ai-amd-developer-hackathon/machinacheck,,2026-05-11 05:54:17
rss_https://openai.com/signals/research/2026q1-update,OpenAI,How ChatGPT adoption broadened in early 2026,2026-05-11,其他,否,"ChatGPT adoption surged in Q1 2026, with fastest growth among users over 35 and more balanced gender usage, signaling broader mainstream AI adoption.",,https://openai.com/signals/research/2026q1-update,,2026-05-12 05:35:03
rss_https://openai.com/index/openai-launches-the-deployment-company,OpenAI,OpenAI launches DeployCo to help businesses build around intelligence,2026-05-11,其他,否,"OpenAI launches DeployCo, a new enterprise deployment company built to help organizations bring frontier AI into production and turn it into measurable business impact.",,https://openai.com/index/openai-launches-the-deployment-company,,2026-05-12 05:35:03
rss_https://huggingface.co/blog/amazon/foundation-model-building-blocks,Hugging Face,Building Blocks for Foundation Model Training and Inference on AWS,2026-05-11,其他,否,,,https://huggingface.co/blog/amazon/foundation-model-building-blocks,,2026-05-12 05:35:05
rss_,Microsoft Research,SocialReasoning-Bench: Measuring whether AI agents act in users’ best interests,2026-05-11,其他,否,"<p>Using SocialReasoning Bench, we observed a stable pattern across models—agents execute competently, but fail to consistently improve the user’s position, even with explicit instructions to optimize",,https://www.microsoft.com/en-us/research/blog/socialreasoning-bench-measuring-whether-ai-agents-act-in-users-best-interests/,,2026-05-12 05:35:06
rss_https://openai.com/index/nvidia,OpenAI,How NVIDIA engineers and researchers build with Codex,2026-05-12,其他,否,Teams use Codex with GPT-5.5 to ship production systems and turn research ideas into runnable experiments.,,https://openai.com/index/nvidia,,2026-05-13 05:44:36
rss_https://openai.com/index/what-parameter-golf-taught-us,OpenAI,What Parameter Golf taught us about AI-assisted research,2026-05-12,其他,否,"Parameter Golf brought together 1,000+ participants and 2,000+ submissions to explore AI-assisted machine learning research, coding agents, quantization, and novel model design under strict constraint",,https://openai.com/index/what-parameter-golf-taught-us,,2026-05-13 05:44:36
rss_https://www.microsoft.com/en-us/research/?p=1171172,Microsoft Research,"Advancing AI for materials with MatterSim: experimental synthesis, faster simulation, and multi-task models",2026-05-12,其他,否,"<p>MatterSim is expanding what AI can do for materials science—from faster large-scale simulations to MatterSim-MT, a new multi-task model for simulating properties beyond potential energy surfaces al",,https://www.microsoft.com/en-us/research/blog/advancing-ai-for-materials-with-mattersim-experimental-synthesis-faster-simulation-and-multi-task-models/,,2026-05-13 05:44:39
rss_https://simonwillison.net/2026/May/12/datasette/#atom-everything,Simon Willison,datasette 1.0a29,2026-05-12,其他,否,"<p><strong>Release:</strong> <a href=""https://github.com/simonw/datasette/releases/tag/1.0a29"">datasette 1.0a29</a></p>
        <blockquote>
<ul>
<li>New <code>TokenRestrictions.abbreviated(datasette)",,https://simonwillison.net/2026/May/12/datasette/#atom-everything,,2026-05-13 05:44:39
